match_id,date,queue_id,game_mode,game_type,patch,role,champion,win,kills,deaths,assists,team_kills,team_deaths,team_assists,cs,cs_per_min,vision_score,vision_score_per_min,wards_placed,wards_killed,gold_earned,total_damage_to_champions,game_duration_seconds,game_duration_min
JP1_578282787,2026-04-24 00:12:54,400,CLASSIC,MATCHED_GAME,16.8.766.8562,BOTTOM,Ashe,False,0,1,0,0,2,0,5,2.07,1,0.41,1,0,758,542,145,2.42
JP1_578259022,2026-04-23 22:36:03,400,CLASSIC,MATCHED_GAME,16.8.766.8562,UTILITY,Nami,True,3,4,21,37,23,65,46,1.34,77,2.24,36,2,10979,15395,2062,34.37
JP1_576467771,2026-04-14 00:58:57,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Nami,True,0,0,0,0,0,0,4,1.9,0,0.0,2,0,720,376,126,2.1
JP1_576458828,2026-04-14 00:09:08,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Renata,False,2,5,19,35,38,66,60,1.34,95,2.12,43,5,12643,12358,2684,44.73
JP1_576327611,2026-04-13 01:48:02,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Janna,False,1,4,3,10,36,9,32,1.23,56,2.15,22,2,6588,3345,1562,26.03
JP1_576325295,2026-04-13 01:17:58,400,CLASSIC,MATCHED_GAME,16.7.760.9485,MIDDLE,Xerath,False,1,6,0,10,27,8,109,4.57,9,0.38,6,0,5960,7926,1432,23.87
JP1_576319447,2026-04-13 00:41:20,400,CLASSIC,MATCHED_GAME,16.7.760.9485,MIDDLE,Galio,False,2,5,1,8,28,13,174,6.11,33,1.16,12,0,8791,23221,1710,28.5
JP1_575707395,2026-04-09 23:18:06,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Nami,False,3,5,25,36,40,50,26,0.74,79,2.26,34,5,11002,15270,2098,34.97
JP1_575702176,2026-04-09 22:52:44,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Nami,False,0,1,0,3,19,0,36,1.93,26,1.4,11,0,4416,4059,1118,18.63
JP1_575694619,2026-04-09 22:27:45,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Nami,True,1,2,9,24,10,18,26,1.27,37,1.8,16,1,5527,6734,1233,20.55
JP1_575415436,2026-04-08 01:10:31,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Nami,True,2,5,24,51,35,56,39,1.17,72,2.15,28,1,10452,11217,2008,33.47
JP1_575408426,2026-04-08 00:29:19,400,CLASSIC,MATCHED_GAME,16.7.760.9485,UTILITY,Nami,True,3,4,12,29,22,43,40,1.12,69,1.93,28,5,10215,12596,2148,35.8
JP1_574646365,2026-04-04 04:36:31,400,CLASSIC,MATCHED_GAME,16.7.760.9485,MIDDLE,Galio,False,5,6,2,29,39,44,259,6.81,36,0.95,11,4,13743,15586,2283,38.05
JP1_574643792,2026-04-04 04:16:32,400,CLASSIC,MATCHED_GAME,16.7.760.9485,MIDDLE,Xerath,False,0,6,0,4,21,4,59,3.76,22,1.4,7,0,3308,1398,941,15.68
