match_id,champion,kills,deaths,assists,combat_events,all_fights,my_fights,fight_wins,fight_evens,fight_losses,survived_fights,died_fights,small_fights,skirmishes,teamfights,early_fights,mid_fights,late_fights,objective_before_gain,objective_before_loss,objective_during_gain,objective_during_loss,objective_after_gain,objective_after_loss
JP1_561563671,Janna,0,1,0,1,11,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
JP1_561571258,Morgana,1,3,5,9,21,6,4,0,2,3,3,3,3,0,5,1,0,0,0,0,0,0,1
JP1_561581260,Janna,1,10,9,20,24,10,1,2,7,0,10,2,5,2,5,5,0,0,1,0,1,1,1
JP1_561590103,Braum,2,4,9,15,21,8,5,2,1,4,4,4,2,2,5,3,0,0,2,0,0,1,1
JP1_562170066,Janna,0,10,8,18,19,10,2,0,8,0,10,4,0,5,3,5,2,0,2,0,3,0,3
JP1_562185060,Janna,1,1,0,2,20,2,0,1,1,1,1,1,1,0,2,0,0,0,1,0,0,0,1
JP1_562191667,Janna,1,2,13,16,27,10,8,1,1,8,2,3,7,0,2,4,4,0,0,1,0,5,0
JP1_562201894,Janna,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP1_562206272,Janna,3,2,18,23,25,12,11,0,1,10,2,6,4,2,3,8,1,2,1,2,0,4,0
JP1_562219273,Janna,1,5,14,20,19,9,7,0,2,4,5,2,4,3,2,3,4,3,2,1,0,3,0
JP1_562443461,Janna,1,8,2,11,35,9,1,0,8,1,8,4,1,1,3,6,0,0,2,0,0,0,2
JP1_562444989,Braum,2,8,0,10,22,9,0,1,8,1,8,2,4,2,3,6,0,0,2,0,1,0,3
JP1_562450290,Janna,1,7,3,11,20,7,1,0,6,1,6,2,1,2,4,3,0,0,1,0,3,0,2
JP1_562452962,Varus,0,9,2,11,20,9,1,0,8,0,9,2,2,2,4,5,0,1,0,0,0,0,2
JP1_562593921,Morgana,3,7,17,27,27,12,6,1,5,5,7,4,4,4,2,8,2,1,2,3,0,0,1
JP1_562777146,Janna,0,6,6,12,29,9,4,1,4,3,6,5,2,2,2,5,2,2,0,2,0,3,1
JP1_563013565,Galio,3,2,10,15,14,7,6,1,0,5,2,2,1,2,7,0,0,1,0,1,0,1,0
JP1_563386599,Gwen,4,4,3,11,24,6,4,0,2,2,4,0,1,2,5,1,0,1,1,1,0,1,0
JP1_563434325,Malphite,2,7,9,18,26,11,7,0,4,4,7,3,1,4,2,4,5,3,0,2,0,3,2
JP1_563443540,Janna,1,7,13,21,28,12,7,3,2,5,7,4,4,4,1,4,7,3,0,1,1,4,1
JP1_563454259,Ashe,14,10,12,36,51,26,16,4,6,16,10,12,12,1,6,8,12,3,6,3,1,2,2
JP1_563722481,Galio,3,3,8,14,28,9,6,1,2,6,3,2,4,2,2,1,6,2,0,1,0,2,1
JP1_563942520,Ahri,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP1_563945518,Ahri,4,11,12,27,27,17,5,2,10,6,11,6,4,5,6,6,5,2,4,1,1,0,2
JP1_564121348,Janna,1,8,9,18,29,14,5,0,9,6,8,4,7,2,7,6,1,0,0,0,1,1,3
JP1_564134689,Janna,1,2,19,22,24,11,8,1,2,9,2,3,4,4,4,5,2,2,0,0,0,5,0
JP1_564162368,Galio,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JP1_564162784,Janna,1,9,9,19,31,11,2,2,7,3,8,5,0,6,5,3,3,1,1,0,3,0,4
